year,state_abbr,state,stratification_category,stratification,obesity_pct,no_leisure_activity_pct,low_fruit_consumption_pct
2017,DE,Delaware,Income,"$15,000 - $24,999",34.1,42.1,40.9
2017,DE,Delaware,Income,"$25,000 - $34,999",39.8,34.7,37.6
2017,DE,Delaware,Income,"$35,000 - $49,999",31.6,33.6,39.1
2017,DE,Delaware,Income,"$50,000 - $74,999",32.0,28.0,35.9
2017,DE,Delaware,Income,"$75,000 or greater",28.9,19.2,30.8
2017,DE,Delaware,Income,Data not reported,28.7,34.2,32.8
2017,DE,Delaware,Income,"Less than $15,000",37.0,44.2,40.6
2017,DE,Delaware,Race/Ethnicity,Hispanic,30.3,35.5,27.8
2017,DE,Delaware,Race/Ethnicity,Non-Hispanic Asian,7.7,26.7,28.4
2017,DE,Delaware,Race/Ethnicity,Non-Hispanic Black,40.2,33.6,36.6
2017,DE,Delaware,Race/Ethnicity,Non-Hispanic White,30.4,29.4,36.1
2017,DE,Delaware,Sex,Female,31.3,33.7,34.8
2017,DE,Delaware,Sex,Male,32.3,28.0,36.0
2017,DE,Delaware,Total,Total,31.8,31.0,35.4
2017,FL,Florida,Age (years),18 - 24,17.1,17.1,40.6
2017,FL,Florida,Age (years),25 - 34,27.6,26.4,35.0
2017,FL,Florida,Age (years),35 - 44,30.4,25.2,31.2
2017,FL,Florida,Age (years),45 - 54,33.4,32.8,37.7
2017,FL,Florida,Age (years),55 - 64,34.6,32.0,35.6
2017,FL,Florida,Age (years),65 or older,25.4,33.9,30.5
2017,FL,Florida,Education,College graduate,23.1,17.9,27.4
2017,FL,Florida,Education,High school graduate,31.2,33.3,39.8
2017,FL,Florida,Education,Less than high school,32.5,46.2,39.6
2017,FL,Florida,Education,Some college or technical school,28.7,26.9,32.9
2017,FL,Florida,Income,"$15,000 - $24,999",32.7,37.2,36.2
2017,FL,Florida,Income,"$25,000 - $34,999",35.0,33.5,36.0
2017,FL,Florida,Income,"$35,000 - $49,999",28.2,26.5,35.0
2017,FL,Florida,Income,"$50,000 - $74,999",30.8,22.0,34.6
2017,FL,Florida,Income,"$75,000 or greater",22.1,17.0,29.7
2017,FL,Florida,Income,Data not reported,23.4,34.0,33.9
2017,FL,Florida,Income,"Less than $15,000",33.7,40.1,40.9
2017,FL,Florida,Race/Ethnicity,Hispanic,31.2,30.6,34.7
2017,FL,Florida,Race/Ethnicity,NH American Indian/Alaska Native,46.7,40.6,27.2
2017,FL,Florida,Race/Ethnicity,Non-Hispanic 2 or more races,37.1,29.9,41.3
